Nom commun;Genre;Espèce;Origine;Taille cm;pH;Dureté;T°C;Volume en spécifique;Mode de maintenance;Comportement global;Reproduction;Mode de reproduction;Nourriture;Particularité;Photo
Poisson clown alias nemo;Amphiprion;Amphiprion ocellaris;Indonésie/océanie; 9,00 ;acide;empty;22-28;100;2;empty;empty;ovipare;empty;empty;Photo/Nemo.jpg
Poisson clown de la grande barrière;Amphiprion;Amphiprion akindinos;Indonésie/océanie; 9,00 ;acide;empty;22-28;100;2;empty;empty;ovipare;empty;empty;Photo/AquapagnonLogo.jpg
Demoiselle à queue doré;Chrysiptera;Chrysiptera parasema;Indonésie/océanie; 12,00 ;acide;empty;22-26;200;2;empty;empty;ovipare;empty;empty;Photo/AquapagnonLogo.jpg
Poisson cardinal de Banggai;Pterapognon;Pterapognon kauderni;Indonésie/océanie; 13,00 ;acide;empty;25-28;150;2 ou +;empty;empty;ovipare;empty;empty;Photo/AquapagnonLogo.jpg
Chemlon à long bec;Forcipiger;poisson papillons;Indonésie/océanie; 22,00 ;acide;empty;23-28;450;2 ou +;empty;empty;ovipaire;empty;empty;Photo/AquapagnonLogo.jpg
Cocher grégaire;Heniochus;diphreutes;Indonésie/océanie; 20,00 ;acide;empty;23-28;empty;2 ou +;empty;empty;ovipaire;empty;empty;Photo/AquapagnonLogo.jpg
Poisson chirurgien jaune;Zebrasoma;flavescens;Pacifique; 18,00 ;acide;empty;23-28;450;2 ou +;empty;empty;ovipaire;empty;Ce sont ses bubulles;Photo/PoissonChirurgienJaune.jpg
Dori;Acanthuridae;hepatus;océan indien/pacifique; 28,00 ;acide;empty;23-28;450;2 ou +;empty;empty;ovipaire;empty;empty;Photo/Dori.jpg
zancle cornu;Zanclus;cornutus;océan indien/pacifique; 22,00 ;acide;empty;23-28;450;5 ou +;empty;empty;ovipaire;empty;empty;Photo/AquapagnonLogo.jpg
Gramma Royal;Gramma;loreto;Caraïbe/Atlantique Ouest; 7,00 ;acide;empty;23-28;80;2;empty;empty;ovipaire;empty;empty;Photo/AquapagnonLogo.jpg
Poisson-coffre jaune;Ostracion;cubicus;Indonésie/océanie; 45,00 ;acide;empty;23-28;450;2;empty;empty;ovipaire;empty;empty;Photo/AquapagnonLogo.jpg
